,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.044982,200.0,-1224.634815,-1633.46679,-739.713681,293.073728,11,exp_name: Pendulum-v1_2023-01-30 (TEST),0,2200
0,0.042728,200.0,-1441.111558,-1704.71896,-1175.275263,170.773083,11,exp_name: Pendulum-v1_2023-01-30 (TEST),1,4400
0,0.040073,200.0,-1349.323664,-1698.962952,-884.736371,310.042328,11,exp_name: Pendulum-v1_2023-01-30 (TEST),2,6600
0,0.045059,200.0,-1070.52599,-1330.270034,-747.986956,189.399427,11,exp_name: Pendulum-v1_2023-01-30 (TEST),3,8800
0,0.039032,200.0,-1078.030445,-1864.29941,-635.460776,298.879284,11,exp_name: Pendulum-v1_2023-01-30 (TEST),4,11000
0,0.04319,200.0,-1039.093354,-1699.401548,-747.909502,276.365831,11,exp_name: Pendulum-v1_2023-01-30 (TEST),5,13200
0,0.037452,200.0,-1309.565385,-1696.471217,-834.77156,337.71646,11,exp_name: Pendulum-v1_2023-01-30 (TEST),6,15400
0,0.039468,200.0,-1187.255409,-1576.167492,-865.467459,239.096987,11,exp_name: Pendulum-v1_2023-01-30 (TEST),7,17600
0,0.03815,200.0,-1072.623788,-1603.66807,-875.866173,221.471513,11,exp_name: Pendulum-v1_2023-01-30 (TEST),8,19800
0,0.038726,200.0,-1130.661567,-1454.681629,-753.803137,239.30486,11,exp_name: Pendulum-v1_2023-01-30 (TEST),9,22000
0,0.036269,200.0,-1134.103374,-1615.572795,-891.082335,246.005566,11,exp_name: Pendulum-v1_2023-01-30 (TEST),10,24200
0,0.036477,200.0,-1120.893883,-1771.051026,-739.084739,317.06495,11,exp_name: Pendulum-v1_2023-01-30 (TEST),11,26400
0,0.036748,200.0,-1209.119726,-1656.912972,-758.796809,301.822331,11,exp_name: Pendulum-v1_2023-01-30 (TEST),12,28600
0,0.038181,200.0,-1010.639723,-1620.238945,-745.702067,235.586262,11,exp_name: Pendulum-v1_2023-01-30 (TEST),13,30800
0,0.038339,200.0,-1075.274563,-1429.683665,-801.944156,217.52709,11,exp_name: Pendulum-v1_2023-01-30 (TEST),14,33000
0,0.036526,200.0,-1037.723142,-1685.275832,-791.18923,241.888654,11,exp_name: Pendulum-v1_2023-01-30 (TEST),15,35200
0,0.037206,200.0,-975.604155,-1599.075649,-513.821783,292.172026,11,exp_name: Pendulum-v1_2023-01-30 (TEST),16,37400
0,0.036518,200.0,-993.615396,-1308.294814,-768.216252,151.588349,11,exp_name: Pendulum-v1_2023-01-30 (TEST),17,39600
0,0.039381,200.0,-1068.64063,-1392.570229,-756.272286,216.605725,11,exp_name: Pendulum-v1_2023-01-30 (TEST),18,41800
0,0.03804,200.0,-1039.971678,-1363.900709,-819.264368,180.656348,11,exp_name: Pendulum-v1_2023-01-30 (TEST),19,44000
0,0.036896,200.0,-1066.866971,-1329.749842,-749.119895,168.298391,11,exp_name: Pendulum-v1_2023-01-30 (TEST),20,46200
0,0.036413,200.0,-986.862334,-1319.009383,-761.053333,158.926958,11,exp_name: Pendulum-v1_2023-01-30 (TEST),21,48400
0,0.038959,200.0,-995.228333,-1227.857916,-768.609632,142.412108,11,exp_name: Pendulum-v1_2023-01-30 (TEST),22,50600
0,0.03746,200.0,-1040.642675,-1413.220791,-790.192117,184.474091,11,exp_name: Pendulum-v1_2023-01-30 (TEST),23,52800
0,0.036651,200.0,-913.709409,-1119.393333,-757.203792,111.06468,11,exp_name: Pendulum-v1_2023-01-30 (TEST),24,55000
0,0.036489,200.0,-993.395837,-1357.308056,-641.35228,234.531784,11,exp_name: Pendulum-v1_2023-01-30 (TEST),25,57200
0,0.036561,200.0,-1000.122833,-1330.412305,-744.689727,218.815405,11,exp_name: Pendulum-v1_2023-01-30 (TEST),26,59400
0,0.039176,200.0,-906.189794,-1238.516203,-746.19065,174.254717,11,exp_name: Pendulum-v1_2023-01-30 (TEST),27,61600
0,0.036365,200.0,-1113.192214,-1551.863656,-791.566407,197.81914,11,exp_name: Pendulum-v1_2023-01-30 (TEST),28,63800
0,0.036314,200.0,-959.901711,-1326.531314,-753.02977,153.4082,11,exp_name: Pendulum-v1_2023-01-30 (TEST),29,66000
0,0.036549,200.0,-1003.442008,-1401.287084,-746.965228,189.615423,11,exp_name: Pendulum-v1_2023-01-30 (TEST),30,68200
0,0.037876,200.0,-928.576461,-1210.234399,-750.69096,124.770727,11,exp_name: Pendulum-v1_2023-01-30 (TEST),31,70400
0,0.037921,200.0,-970.817799,-1335.91666,-771.47742,156.17327,11,exp_name: Pendulum-v1_2023-01-30 (TEST),32,72600
0,0.036572,200.0,-956.529309,-1095.83324,-628.778433,116.77784,11,exp_name: Pendulum-v1_2023-01-30 (TEST),33,74800
0,0.036465,200.0,-968.530657,-1213.264596,-761.349109,113.645166,11,exp_name: Pendulum-v1_2023-01-30 (TEST),34,77000
0,0.036415,200.0,-968.396429,-1567.506342,-636.824754,250.848613,11,exp_name: Pendulum-v1_2023-01-30 (TEST),35,79200
0,0.039043,200.0,-968.143975,-1311.598588,-730.733736,192.408351,11,exp_name: Pendulum-v1_2023-01-30 (TEST),36,81400
0,0.03653,200.0,-971.75658,-1175.071733,-641.710977,166.174651,11,exp_name: Pendulum-v1_2023-01-30 (TEST),37,83600
0,0.037906,200.0,-882.708919,-1176.4485,-639.447647,162.981476,11,exp_name: Pendulum-v1_2023-01-30 (TEST),38,85800
0,0.036456,200.0,-947.947501,-1145.908824,-758.66102,118.285904,11,exp_name: Pendulum-v1_2023-01-30 (TEST),39,88000
0,0.037727,200.0,-1015.463089,-1286.203706,-744.660533,188.96099,11,exp_name: Pendulum-v1_2023-01-30 (TEST),40,90200
0,0.038023,200.0,-903.078137,-1098.673846,-701.08436,133.502367,11,exp_name: Pendulum-v1_2023-01-30 (TEST),41,92400
0,0.036469,200.0,-900.134378,-1077.987664,-747.201322,116.107222,11,exp_name: Pendulum-v1_2023-01-30 (TEST),42,94600
0,0.036456,200.0,-893.693152,-1014.692374,-685.070771,103.258564,11,exp_name: Pendulum-v1_2023-01-30 (TEST),43,96800
0,0.036369,200.0,-839.877797,-993.626586,-665.704797,96.34075,11,exp_name: Pendulum-v1_2023-01-30 (TEST),44,99000
0,0.039137,200.0,-827.164156,-964.351,-629.96912,98.968662,11,exp_name: Pendulum-v1_2023-01-30 (TEST),45,101200
0,0.036409,200.0,-820.785456,-1146.885313,-626.805907,162.748366,11,exp_name: Pendulum-v1_2023-01-30 (TEST),46,103400
0,0.036455,200.0,-826.986699,-996.236716,-655.540509,91.110298,11,exp_name: Pendulum-v1_2023-01-30 (TEST),47,105600
0,0.036396,200.0,-783.361572,-869.236796,-613.939479,80.420499,11,exp_name: Pendulum-v1_2023-01-30 (TEST),48,107800
0,0.037183,200.0,-788.850463,-1013.441826,-630.35333,130.911185,11,exp_name: Pendulum-v1_2023-01-30 (TEST),49,110000
0,0.038811,200.0,-774.949917,-972.944309,-634.418642,93.447674,11,exp_name: Pendulum-v1_2023-01-30 (TEST),50,112200
0,0.036264,200.0,-737.179079,-1025.90364,-613.443832,116.923083,11,exp_name: Pendulum-v1_2023-01-30 (TEST),51,114400
0,0.036347,200.0,-739.260804,-993.426698,-503.561913,168.325389,11,exp_name: Pendulum-v1_2023-01-30 (TEST),52,116600
0,0.036349,200.0,-741.730493,-937.220007,-626.256294,91.951213,11,exp_name: Pendulum-v1_2023-01-30 (TEST),53,118800
0,0.038907,200.0,-736.192206,-940.872204,-607.597802,113.398375,11,exp_name: Pendulum-v1_2023-01-30 (TEST),54,121000
0,0.037105,200.0,-753.787686,-905.700348,-619.718726,98.195842,11,exp_name: Pendulum-v1_2023-01-30 (TEST),55,123200
0,0.036131,200.0,-710.028826,-1083.406862,-495.131301,159.598179,11,exp_name: Pendulum-v1_2023-01-30 (TEST),56,125400
0,0.037033,200.0,-731.685371,-1021.921366,-628.526791,134.213441,11,exp_name: Pendulum-v1_2023-01-30 (TEST),57,127600
0,0.036925,200.0,-740.776096,-1046.560254,-544.946674,141.210254,11,exp_name: Pendulum-v1_2023-01-30 (TEST),58,129800
