,episodes,training time,length per episode,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,0.4820380210876465,0,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,2200,0.038617,200.0,-1342.88013,-1795.364819,-882.326357,335.693485
0,0.9697329998016357,1,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,4400,0.038069,200.0,-1125.513996,-1817.486455,-756.828252,351.819856
0,1.4880781173706055,2,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,6600,0.041676,200.0,-1363.14335,-1855.3779,-740.803009,366.006199
0,1.9662771224975586,3,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,8800,0.038601,200.0,-1355.237444,-1868.683182,-863.361974,360.137378
0,2.47048282623291,4,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,11000,0.039214,200.0,-1085.905042,-1614.713404,-751.843306,244.456917
0,2.972536087036133,5,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,13200,0.039602,200.0,-1151.338742,-1555.247073,-763.848035,216.883072
0,3.514986991882324,6,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,15400,0.041495,200.0,-1178.771255,-1812.988834,-643.604527,344.686674
0,4.02520489692688,7,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,17600,0.041493,200.0,-1124.326153,-1778.239303,-755.848154,366.891493
0,4.502609014511108,8,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,19800,0.038318,200.0,-1069.983713,-1786.881491,-746.818179,297.949748
0,4.960206985473633,9,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,22000,0.036858,200.0,-1480.208311,-1863.582971,-1165.944619,260.796373
0,5.41838002204895,10,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,24200,0.036984,200.0,-1214.645583,-1754.77934,-843.470194,279.24186
0,5.9159440994262695,11,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,26400,0.039047,200.0,-1190.105986,-1520.12414,-748.510516,265.077156
0,6.4443230628967285,12,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,28600,0.042235,200.0,-1377.848084,-1682.752923,-1046.885956,189.95092
0,6.942792892456055,13,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,30800,0.040255,200.0,-1197.311687,-1716.795933,-770.295098,299.018943
0,7.407458066940308,14,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,33000,0.03738,200.0,-1215.790226,-1869.213557,-875.778495,275.819402
0,7.880603075027466,15,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,35200,0.038181,200.0,-1323.573943,-1835.904826,-906.24399,329.625481
0,8.34139895439148,16,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,37400,0.037181,200.0,-1203.461018,-1699.708443,-895.787005,255.590555
0,8.79637598991394,17,11,exp_name: Pendulum-v1_2023-01-28 exp: ppo_continuous_ac,39600,0.036797,200.0,-1253.415718,-1675.59949,-893.923187,262.427745
