,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: Pendulum-v1_2023-01-29 (TEST),2200,0.036853,200.0,11,-1342.88013,-1795.364819,-882.326357,335.693485,0
0,exp_name: Pendulum-v1_2023-01-29 (TEST),4400,0.038216,200.0,11,-1136.887119,-1817.267619,-766.448829,337.392732,1
0,exp_name: Pendulum-v1_2023-01-29 (TEST),6600,0.038092,200.0,11,-1333.859222,-1849.10205,-624.352502,380.116599,2
0,exp_name: Pendulum-v1_2023-01-29 (TEST),8800,0.037655,200.0,11,-1326.554654,-1868.252673,-863.321158,370.561447,3
0,exp_name: Pendulum-v1_2023-01-29 (TEST),11000,0.03728,200.0,11,-1048.031193,-1573.804947,-732.764994,233.795209,4
0,exp_name: Pendulum-v1_2023-01-29 (TEST),13200,0.036592,200.0,11,-1140.183886,-1536.03956,-705.454068,222.095317,5
0,exp_name: Pendulum-v1_2023-01-29 (TEST),15400,0.038478,200.0,11,-1206.710487,-1805.098882,-841.571614,294.403093,6
0,exp_name: Pendulum-v1_2023-01-29 (TEST),17600,0.03561,200.0,11,-1139.232905,-1754.124822,-626.455209,349.794645,7
0,exp_name: Pendulum-v1_2023-01-29 (TEST),19800,0.035538,200.0,11,-1059.273043,-1750.919605,-771.098447,264.371588,8
0,exp_name: Pendulum-v1_2023-01-29 (TEST),22000,0.035411,200.0,11,-1384.686653,-1861.586825,-959.267021,299.107158,9
0,exp_name: Pendulum-v1_2023-01-29 (TEST),24200,0.037686,200.0,11,-1101.438339,-1654.182324,-792.738814,249.096851,10
0,exp_name: Pendulum-v1_2023-01-29 (TEST),26400,0.036903,200.0,11,-1099.068856,-1405.225055,-743.242937,220.483484,11
0,exp_name: Pendulum-v1_2023-01-29 (TEST),28600,0.035406,200.0,11,-1257.916631,-1538.770496,-863.1513,184.332943,12
0,exp_name: Pendulum-v1_2023-01-29 (TEST),30800,0.035486,200.0,11,-1132.343224,-1615.245088,-891.35601,252.279247,13
0,exp_name: Pendulum-v1_2023-01-29 (TEST),33000,0.035538,200.0,11,-1164.456785,-1857.380118,-864.236431,266.11985,14
0,exp_name: Pendulum-v1_2023-01-29 (TEST),35200,0.038845,200.0,11,-1242.761564,-1707.750452,-888.353977,279.950363,15
0,exp_name: Pendulum-v1_2023-01-29 (TEST),37400,0.035842,200.0,11,-1123.753543,-1581.071002,-760.256448,233.190293,16
0,exp_name: Pendulum-v1_2023-01-29 (TEST),39600,0.036093,200.0,11,-1165.870722,-1520.88418,-777.301466,227.985832,17
0,exp_name: Pendulum-v1_2023-01-29 (TEST),41800,0.036396,200.0,11,-1014.346465,-1358.335066,-763.234005,176.54892,18
0,exp_name: Pendulum-v1_2023-01-29 (TEST),44000,0.037244,200.0,11,-1090.23276,-1642.312735,-767.733829,279.850726,19
0,exp_name: Pendulum-v1_2023-01-29 (TEST),46200,0.03784,200.0,11,-1080.341542,-1534.87446,-759.34103,250.661828,20
0,exp_name: Pendulum-v1_2023-01-29 (TEST),48400,0.035608,200.0,11,-1044.472688,-1384.544335,-752.019465,212.916234,21
0,exp_name: Pendulum-v1_2023-01-29 (TEST),50600,0.035533,200.0,11,-1140.008342,-1594.654166,-783.294534,254.741705,22
0,exp_name: Pendulum-v1_2023-01-29 (TEST),52800,0.036363,200.0,11,-1022.45122,-1500.716688,-770.005108,231.002493,23
0,exp_name: Pendulum-v1_2023-01-29 (TEST),55000,0.038094,200.0,11,-1014.791437,-1739.358421,-765.479911,250.393998,24
0,exp_name: Pendulum-v1_2023-01-29 (TEST),57200,0.036221,200.0,11,-1006.263297,-1510.177006,-756.837748,192.076313,25
0,exp_name: Pendulum-v1_2023-01-29 (TEST),59400,0.035733,200.0,11,-966.779664,-1331.635201,-774.518064,144.513016,26
0,exp_name: Pendulum-v1_2023-01-29 (TEST),61600,0.035541,200.0,11,-1004.321386,-1195.248941,-814.918147,136.957079,27
0,exp_name: Pendulum-v1_2023-01-29 (TEST),63800,0.035335,200.0,11,-905.446072,-1289.641047,-721.356109,164.299955,28
0,exp_name: Pendulum-v1_2023-01-29 (TEST),66000,0.038636,200.0,11,-970.995652,-1455.776108,-765.905876,222.294395,29
0,exp_name: Pendulum-v1_2023-01-29 (TEST),68200,0.035573,200.0,11,-976.963142,-1098.583215,-789.705355,107.187813,30
0,exp_name: Pendulum-v1_2023-01-29 (TEST),70400,0.035628,200.0,11,-965.57255,-1199.129699,-766.708645,146.833319,31
0,exp_name: Pendulum-v1_2023-01-29 (TEST),72600,0.035433,200.0,11,-998.059096,-1357.508382,-759.905547,173.772637,32
0,exp_name: Pendulum-v1_2023-01-29 (TEST),74800,0.037005,200.0,11,-964.344114,-1378.766493,-755.025033,191.022608,33
0,exp_name: Pendulum-v1_2023-01-29 (TEST),77000,0.037612,200.0,11,-972.677604,-1282.782586,-627.484935,180.238898,34
0,exp_name: Pendulum-v1_2023-01-29 (TEST),79200,0.03555,200.0,11,-922.749767,-1272.240131,-738.029316,139.631864,35
0,exp_name: Pendulum-v1_2023-01-29 (TEST),81400,0.03531,200.0,11,-964.179088,-1365.899586,-742.63213,168.589774,36
0,exp_name: Pendulum-v1_2023-01-29 (TEST),83600,0.037298,200.0,11,-946.871588,-1199.069325,-760.831125,113.46359,37
0,exp_name: Pendulum-v1_2023-01-29 (TEST),85800,0.038378,200.0,11,-901.659525,-1085.003545,-759.850828,122.896633,38
0,exp_name: Pendulum-v1_2023-01-29 (TEST),88000,0.035856,200.0,11,-859.440587,-1161.007632,-677.456424,136.146304,39
0,exp_name: Pendulum-v1_2023-01-29 (TEST),90200,0.036381,200.0,11,-973.225954,-1158.634525,-827.410819,102.091214,40
0,exp_name: Pendulum-v1_2023-01-29 (TEST),92400,0.035464,200.0,11,-890.068488,-1079.713268,-718.79567,123.247249,41
0,exp_name: Pendulum-v1_2023-01-29 (TEST),94600,0.035796,200.0,11,-856.845732,-1090.50984,-740.584069,107.190554,42
0,exp_name: Pendulum-v1_2023-01-29 (TEST),96800,0.038494,200.0,11,-909.068806,-1354.960449,-746.215507,182.576964,43
