,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: Pendulum-v1_2023-01-30 (TEST),2200,0.038527,200.0,11,-1342.88013,-1795.364819,-882.326357,335.693485,0
0,exp_name: Pendulum-v1_2023-01-30 (TEST),4400,0.038455,200.0,11,-1141.091358,-1816.081687,-809.149227,330.324152,1
0,exp_name: Pendulum-v1_2023-01-30 (TEST),6600,0.043229,200.0,11,-1343.14715,-1851.8946,-731.636951,367.118605,2
0,exp_name: Pendulum-v1_2023-01-30 (TEST),8800,0.039293,200.0,11,-1333.485807,-1868.181084,-861.270008,370.92742,3
0,exp_name: Pendulum-v1_2023-01-30 (TEST),11000,0.038809,200.0,11,-1100.121165,-1593.699204,-888.71156,198.115681,4
0,exp_name: Pendulum-v1_2023-01-30 (TEST),13200,0.03892,200.0,11,-1141.436425,-1543.388732,-865.563202,205.950376,5
0,exp_name: Pendulum-v1_2023-01-30 (TEST),15400,0.038668,200.0,11,-1201.762873,-1802.83917,-777.584388,298.543638,6
0,exp_name: Pendulum-v1_2023-01-30 (TEST),17600,0.040026,200.0,11,-1190.127085,-1758.927912,-861.321653,307.993164,7
0,exp_name: Pendulum-v1_2023-01-30 (TEST),19800,0.038315,200.0,11,-1064.998351,-1772.916921,-765.7693,273.83934,8
0,exp_name: Pendulum-v1_2023-01-30 (TEST),22000,0.037726,200.0,11,-1392.679546,-1862.021848,-964.279055,314.14154,9
0,exp_name: Pendulum-v1_2023-01-30 (TEST),24200,0.037733,200.0,11,-1158.130655,-1687.80521,-885.100212,225.743536,10
0,exp_name: Pendulum-v1_2023-01-30 (TEST),26400,0.038636,200.0,11,-1136.530483,-1448.722591,-768.749845,213.632273,11
0,exp_name: Pendulum-v1_2023-01-30 (TEST),28600,0.041664,200.0,11,-1309.739129,-1604.819628,-1009.489378,177.371474,12
0,exp_name: Pendulum-v1_2023-01-30 (TEST),30800,0.040439,200.0,11,-1153.690938,-1626.147539,-905.438825,236.891863,13
0,exp_name: Pendulum-v1_2023-01-30 (TEST),33000,0.039122,200.0,11,-1177.70972,-1861.316315,-907.654017,244.997441,14
0,exp_name: Pendulum-v1_2023-01-30 (TEST),35200,0.037781,200.0,11,-1266.474694,-1781.279094,-904.86914,311.870452,15
0,exp_name: Pendulum-v1_2023-01-30 (TEST),37400,0.038819,200.0,11,-1174.892705,-1641.110861,-869.998906,227.050767,16
0,exp_name: Pendulum-v1_2023-01-30 (TEST),39600,0.040142,200.0,11,-1224.194818,-1587.601326,-906.702027,235.667259,17
0,exp_name: Pendulum-v1_2023-01-30 (TEST),41800,0.037697,200.0,11,-1082.022318,-1509.955801,-865.309324,189.935465,18
0,exp_name: Pendulum-v1_2023-01-30 (TEST),44000,0.038041,200.0,11,-1138.752039,-1736.904105,-773.668044,328.411509,19
0,exp_name: Pendulum-v1_2023-01-30 (TEST),46200,0.043075,200.0,11,-1180.221814,-1724.326374,-896.222513,289.900923,20
0,exp_name: Pendulum-v1_2023-01-30 (TEST),48400,0.040701,200.0,11,-1137.567214,-1565.657439,-770.746621,255.578594,21
0,exp_name: Pendulum-v1_2023-01-30 (TEST),50600,0.040612,200.0,11,-1240.286577,-1710.869395,-751.857391,333.407481,22
0,exp_name: Pendulum-v1_2023-01-30 (TEST),52800,0.037716,200.0,11,-1081.565493,-1629.645772,-632.272475,314.436645,23
0,exp_name: Pendulum-v1_2023-01-30 (TEST),55000,0.037577,200.0,11,-1111.02249,-1755.273135,-855.203522,252.355089,24
0,exp_name: Pendulum-v1_2023-01-30 (TEST),57200,0.040441,200.0,11,-1119.740317,-1687.180951,-890.138352,211.769054,25
0,exp_name: Pendulum-v1_2023-01-30 (TEST),59400,0.040868,200.0,11,-1041.82672,-1521.476166,-752.962839,221.805824,26
0,exp_name: Pendulum-v1_2023-01-30 (TEST),61600,0.039853,200.0,11,-1060.844422,-1318.27242,-752.809824,203.594857,27
0,exp_name: Pendulum-v1_2023-01-30 (TEST),63800,0.038822,200.0,11,-990.953599,-1438.925702,-758.0641,184.749532,28
0,exp_name: Pendulum-v1_2023-01-30 (TEST),66000,0.037927,200.0,11,-1091.924949,-1644.123463,-763.389774,272.526175,29
0,exp_name: Pendulum-v1_2023-01-30 (TEST),68200,0.038012,200.0,11,-1101.865882,-1327.332768,-880.453881,159.20577,30
0,exp_name: Pendulum-v1_2023-01-30 (TEST),70400,0.040435,200.0,11,-1086.856308,-1385.237567,-888.013426,186.373358,31
0,exp_name: Pendulum-v1_2023-01-30 (TEST),72600,0.040169,200.0,11,-1121.558062,-1529.399336,-895.576672,225.692374,32
0,exp_name: Pendulum-v1_2023-01-30 (TEST),74800,0.037441,200.0,11,-1066.248503,-1537.572072,-750.729702,258.638682,33
0,exp_name: Pendulum-v1_2023-01-30 (TEST),77000,0.037527,200.0,11,-1137.413466,-1479.367275,-882.472976,195.879674,34
0,exp_name: Pendulum-v1_2023-01-30 (TEST),79200,0.039316,200.0,11,-1020.266992,-1536.9027,-756.473607,216.128543,35
0,exp_name: Pendulum-v1_2023-01-30 (TEST),81400,0.040691,200.0,11,-1040.51427,-1625.375636,-728.383263,266.71815,36
0,exp_name: Pendulum-v1_2023-01-30 (TEST),83600,0.038428,200.0,11,-1054.261005,-1451.713929,-766.7031,213.938079,37
0,exp_name: Pendulum-v1_2023-01-30 (TEST),85800,0.039312,200.0,11,-960.130421,-1236.219178,-794.742112,144.7054,38
